奥联电子	300585	14:40	29.33	8.55%	成交额大于5000万小散苛苛	
格尔软件	603232	14:37	63.66	2.84%	成交额大于5000万小散苛苛	
江特电机	002176	14:34	13.49	4.17%	盘中预警	
东方财富	300059	14:32	13.34	4.14%	盘中预警	
寿仙谷	603896	14:22	61.10	3.91%	成交额大于5000万小散苛苛	
南风化工	000737	14:07	6.14	5.50%	盘中预警	
景嘉微	300474	14:01	60.79	2.39%	成交额大于5000万小散苛苛	
森霸股份	300701	13:57	53.65	7.97%	成交额大于5000万小散苛苛	
金辰股份	603396	13:56	54.78	8.73%	成交额大于5000万小散苛苛	
杉杉股份	600884	13:52	21.90	5.75%	盘中预警	
透景生命	300642	13:50	103.99	1.75%	成交额大于5000万小散苛苛	
星云股份	300648	13:42	87.35	6.39%	成交额大于5000万小散苛苛	
联合光电	300691	13:38	110.30	0.90%	成交额大于5000万小散苛苛	
卫光生物	002880	13:32	69.60	0.88%	成交额大于5000万小散苛苛	
和而泰	002402	13:30	10.76	3.96%	盘中预警	
万隆光电	300710	13:29	63.36	10.00%	成交额大于5000万小散苛苛	
风语筑	603466	13:24	77.80	3.90%	成交额大于5000万小散苛苛	
浙江鼎力	603338	13:24	73.88	-0.16%	成交额大于5000万小散苛苛	
合盛硅业	603260	13:24	54.78	10.00%	成交额大于5000万小散苛苛	
国芳集团	601086	13:22	11.41	5.75%	盘中预警	
三七互娱	002555	13:21	24.50	5.15%	盘中预警	
联得装备	300545	13:20	79.66	-0.41%	成交额大于5000万小散苛苛	
光威复材	300699	13:20	92.80	-0.84%	成交额大于5000万小散苛苛	
雅克科技	002409	13:19	34.02	9.99%	成交额大于5000万小散苛苛	
力盛赛车	002858	13:19	49.60	10.00%	成交额大于5000万小散苛苛	
贵州茅台	600519	13:18	652.11	1.56%	成交额大于5000万小散苛苛	
中科曙光	603019	13:18	49.79	2.22%	成交额大于5000万小散苛苛	
阿科力	603722	13:17	42.01	10.00%	成交额大于5000万小散苛苛	
京华激光	603607	13:17	59.92	10.01%	成交额大于5000万小散苛苛	
掌阅科技	603533	13:17	67.00	1.09%	成交额大于5000万小散苛苛	
龙韵股份	603729	13:17	70.48	10.00%	成交额大于5000万小散苛苛	
丽岛新材	603937	13:17	20.22	10.01%	成交额大于5000万小散苛苛	
贝瑞基因	000710	13:17	70.03	10.01%	成交额大于5000万小散苛苛	
长春高新	000661	13:17	176.99	-0.87%	成交额大于5000万小散苛苛	
德生科技	002908	13:16	31.14	10.00%	成交额大于5000万小散苛苛	
铭普光磁	002902	13:16	54.27	9.99%	成交额大于5000万小散苛苛	
大博医疗	002901	13:16	50.51	6.67%	成交额大于5000万小散苛苛	
沃特股份	002886	13:16	44.92	9.99%	成交额大于5000万小散苛苛	
新劲刚	300629	13:16	56.85	-2.13%	成交额大于5000万小散苛苛	
长川科技	300604	13:16	65.90	0.69%	成交额大于5000万小散苛苛	
立昂技术	300603	13:16	48.63	10.00%	成交额大于5000万小散苛苛	
凯伦股份	300715	13:16	42.46	10.00%	成交额大于5000万小散苛苛	
英可瑞	300713	13:16	93.43	10.00%	成交额大于5000万小散苛苛	
精研科技	300709	13:16	107.30	0.71%	成交额大于5000万小散苛苛	
聚灿光电	300708	13:16	20.58	9.99%	成交额大于5000万小散苛苛	
威唐工业	300707	13:16	69.35	6.76%	成交额大于5000万小散苛苛	
阿石创	300706	13:16	112.66	7.30%	成交额大于5000万小散苛苛	
岱勒新材	300700	13:16	86.89	3.69%	成交额大于5000万小散苛苛	
创业黑马	300688	13:16	78.08	10.00%	成交额大于5000万小散苛苛	
艾德生物	300685	13:16	114.13	-1.27%	成交额大于5000万小散苛苛	
中科信息	300678	13:16	84.75	-0.42%	成交额大于5000万小散苛苛	
华大基因	300676	13:16	212.53	-1.13%	成交额大于5000万小散苛苛	
江丰电子	300666	13:16	71.15	-0.89%	成交额大于5000万小散苛苛	
永福股份	300712	13:16	30.15	10.00%	成交额大于5000万小散苛苛	
